Timestamp (ms),Piezo Value Left,Piezo Value Right,Label
29816,12,11, left
29902,14,13, left
29988,11,11, middle
30074,9,10, right
30159,13,12, left
30245,13,13, middle
30331,8,10, right
30416,9,11, right
30501,15,13, left
30587,12,12, middle
30673,8,10, right
30758,12,12, middle
30844,14,13, left
30930,10,10, middle
31016,10,10, middle
31102,14,13, left
31188,12,12, middle
31274,11,10, left
31360,12,13, right
31446,14,13, left
31532,14,10, left
31620,20,12, left
31706,6,13, right
31791,0,11, right
31876,12,10, left
31962,55,11, left
32048,56,9, left
32133,32,3, left
32218,0,1, right
32302,0,0, middle
32386,0,0, middle
32470,0,0, middle
32554,0,0, middle
32638,0,0, middle
32722,0,0, middle
32806,0,37, right
32891,0,94, right
32976,0,100, right
33062,0,99, right
33147,0,104, right
33233,0,104, right
33319,0,118, right
33405,4,163, right
33491,6,192, right
33577,0,174, right
33665,3,152, right
33751,0,130, right
33837,0,112, right
33923,0,98, right
34008,5,85, right
34093,10,69, right
34179,17,36, right
34265,17,0, left
34350,9,0, left
34434,0,0, middle
34518,0,0, middle
34602,0,19, right
34687,0,60, right
34772,0,66, right
34857,0,12, right
34942,0,0, middle
35026,0,0, middle
35110,0,0, middle
35194,0,26, right
35279,0,36, right
35364,2,59, right
35449,0,42, right
35534,1,31, right
35619,1,18, right
35706,7,17, right
35791,9,26, right
35876,7,30, right
35961,7,35, right
36046,7,36, right
36131,11,47, right
36217,9,59, right
36302,4,61, right
36387,6,51, right
36472,9,44, right
36557,9,60, right
36642,3,53, right
36727,0,44, right
36812,0,28, right
36897,0,30, right
36982,0,31, right
37067,1,38, right
37152,1,28, right
37237,0,23, right
37322,0,26, right
37407,3,29, right
37492,5,33, right
37577,10,31, right
37663,10,32, right
37749,8,23, right
37832,8,15, right
37917,1,4, right
38001,0,0, middle
38085,0,5, right
38169,0,12, right
38254,0,15, right
38339,0,15, right
38424,0,13, right
38509,1,15, right
38594,4,16, right
38679,4,10, right
38764,0,11, right
38849,1,16, right
38934,4,23, right
39019,4,21, right
39104,2,17, right
39189,2,20, right
39274,3,19, right
39359,4,21, right
39444,2,22, right
39529,3,20, right
39614,6,19, right
39699,6,20, right
39784,1,16, right
39871,5,28, right
39956,7,30, right
40041,5,27, right
40126,5,30, right
40211,8,42, right
40296,5,37, right
40381,0,22, right
40466,0,9, right
40550,0,4, right
40634,14,10, left
40720,9,16, right
40805,1,34, right
40890,0,70, right
40975,10,85, right
41061,12,83, right
41147,13,85, right
41233,15,62, right
41319,11,28, right
41405,7,27, right
41490,12,61, right
41576,13,78, right
41662,3,56, right
41747,0,39, right
41832,2,44, right
41919,6,51, right
42004,3,44, right
42089,1,42, right
42174,5,46, right
42259,8,46, right
42344,3,36, right
42429,1,28, right
42514,6,31, right
42599,9,35, right
42684,6,30, right
42769,4,24, right
42854,7,24, right
42939,9,27, right
43024,7,26, right
43109,4,23, right
43194,5,24, right
43279,8,27, right
43364,7,26, right
43449,3,25, right
43534,5,26, right
43619,7,28, right
43704,8,28, right
43789,5,27, right
43874,6,28, right
43959,8,31, right
44042,9,32, right
44127,6,29, right
44212,5,29, right
44297,8,31, right
44382,9,32, right
44467,7,29, right
44552,5,27, right
44637,7,29, right
44722,9,30, right
44807,7,28, right
44892,6,27, right
44977,7,29, right
45062,9,30, right
45147,7,28, right
45232,5,26, right
45317,7,28, right
45402,9,29, right
45487,7,27, right
45572,6,25, right
45657,7,27, right
45742,10,29, right
45828,6,26, right
45913,6,24, right
45998,8,26, right
46085,9,27, right
46170,6,24, right
46255,6,24, right
46340,8,26, right
46425,9,26, right
46510,7,24, right
46595,5,23, right
46680,9,26, right
46765,9,26, right
46850,7,23, right
46935,6,23, right
47020,9,25, right
47105,10,26, right
47191,7,23, right
47276,6,22, right
47361,9,25, right
47446,9,25, right
47531,7,23, right
47616,6,22, right
47701,8,24, right
47786,10,25, right
47872,6,22, right
47957,6,21, right
48042,9,24, right
48129,9,23, right
48214,6,21, right
48299,7,22, right
48384,9,23, right
48469,9,23, right
48554,6,20, right
48639,7,21, right
48724,10,23, right
48810,9,22, right
48895,6,19, right
48980,7,20, right
49065,10,22, right
49151,8,20, right
49236,6,18, right
49321,7,19, right
49406,11,21, right
49492,8,20, right
49577,6,17, right
49662,8,18, right
49747,9,19, right
49832,9,19, right
49917,7,17, right
50002,7,18, right
50087,10,21, right
50175,7,18, right
50260,7,19, right
50345,10,22, right
50431,14,31, right
50517,8,31, right
50602,8,33, right
50687,10,35, right
50773,9,35, right
50858,7,31, right
50943,7,27, right
51028,10,27, right
51114,8,23, right
51199,7,23, right
51284,7,21, right
51369,8,20, right
51454,10,20, right
51540,7,19, right
51625,8,21, right
51710,10,21, right
51796,8,19, right
51881,7,18, right
51966,9,20, right
52051,10,20, right
52137,8,18, right
52224,7,19, right
52309,8,21, right
52394,10,20, right
52480,7,17, right
52565,8,18, right
52650,11,20, right
52736,9,19, right
52821,7,17, right
52906,8,18, right
52991,11,20, right
53077,9,18, right
53162,7,16, right
53247,8,17, right
53332,11,19, right
53418,9,17, right
53503,7,15, right
53588,9,17, right
53673,10,19, right
53759,8,16, right
53844,7,15, right
53929,9,17, right
54014,11,18, right
54100,8,15, right
54185,7,14, right
54272,10,18, right
54358,9,16, right
54443,7,14, right
54528,7,15, right
54613,10,17, right
54699,9,16, right
54784,6,14, right
54869,7,15, right
54954,11,17, right
55040,9,16, right
55125,6,14, right
55210,8,16, right
55295,11,18, right
55381,8,16, right
55466,6,15, right
55551,8,16, right
55636,9,18, right
55721,9,16, right
55806,6,13, right
55891,9,16, right
55976,11,18, right
56062,8,16, right
56147,7,14, right
56232,9,16, right
56317,11,18, right
56405,9,14, right
56490,8,14, right
56575,10,17, right
56661,10,16, right
56747,7,13, right
56832,9,15, right
56917,11,17, right
57003,9,14, right
57088,7,13, right
57173,9,15, right
57258,11,16, right
57344,9,13, right
57429,7,13, right
57514,9,15, right
57599,11,16, right
57685,8,14, right
57770,9,13, right
57855,10,16, right
57941,11,16, right
58027,7,13, right
58112,8,14, right
58197,10,16, right
58283,10,15, right
