Timestamp (ms), rf Distance left, rf Distance right, Label
40602,113,110, middle
40721,118,110, middle
40840,118,110, middle
40960,113,110, middle
41078,120,110, middle
41198,113,110, middle
41316,116,110, middle
41435,118,110, middle
41554,118,106, right
41673,118,111, middle
41792,118,107, right
41910,118,105, right
42028,112,106, middle
42136,114,105, middle
42244,115,105, middle
42365,116,106, middle
42473,114,106, middle
42581,120,106, right
42689,113,108, middle
42797,113,104, middle
42905,113,108, middle
43012,111,103, middle
43120,113,103, middle
43227,113,105, middle
43335,113,107, middle
43443,117,105, right
43551,112,105, middle
43658,125,105, right
43767,116,105, right
43875,113,105, middle
43982,117,103, right
44090,116,102, right
44200,120,105, right
44308,121,106, right
44417,121,105, right
44525,121,104, right
44633,119,106, right
44741,119,109, middle
44849,119,104, right
44957,121,104, right
45065,116,104, right
45173,117,104, right
45292,113,105, middle
45400,114,105, middle
45507,113,105, middle
45615,116,105, right
45723,113,102, right
45830,112,106, middle
45938,112,106, middle
46048,113,105, middle
46156,112,104, middle
46263,112,106, middle
46371,112,108, middle
46479,112,106, middle
46597,111,106, middle
46716,112,103, middle
46823,112,110, middle
46931,121,105, right
47039,121,106, right
47147,121,105, right
47255,123,105, right
47364,118,107, right
47472,118,105, right
47590,118,103, right
47698,119,105, right
47817,117,106, right
47927,118,106, right
48049,118,106, right
48170,118,107, right
48280,121,102, right
48390,117,103, right
48500,118,102, right
48609,117,103, right
48719,118,106, right
48829,117,106, right
48939,111,105, middle
49166,120,106, right
49276,125,105, right
49386,121,106, right
49497,121,105, right
49617,112,105, middle
49738,111,108, middle
49850,112,105, middle
49960,121,106, right
50070,112,106, middle
50179,112,106, middle
50300,112,108, middle
50410,119,108, right
50531,121,108, right
50652,113,108, middle
50773,119,108, right
50894,112,105, middle
51004,119,105, right
51125,112,105, middle
51235,112,103, middle
51344,123,103, right
51466,111,103, middle
51586,85,103, left
51705,119,103, right
51828,122,103, right
51949,84,103, left
52068,84,103, left
52186,84,101, left
52293,124,101, right
52403,117,99, right
52511,117,105, right
52621,86,105, left
52739,83,99, left
52845,84,99, left
52962,112,103, middle
53072,115,103, right
53192,115,103, right
53313,115,103, right
53434,115,101, right
53544,113,104, middle
53654,115,104, right
53774,115,104, right
53898,115,104, right
54019,85,104, left
54137,116,104, right
54258,112,104, middle
54379,113,104, middle
54499,113,102, right
54609,113,102, right
54730,87,102, left
54848,101,102, middle
54968,116,100, right
55078,120,100, right
55199,122,91, right
55307,115,100, right
55417,115,100, right
55538,112,100, right
55658,115,101, right
55768,117,101, right
55891,103,101, middle
56012,97,101, middle
56131,97,101, middle
56249,100,101, middle
56370,98,101, middle
56488,99,101, middle
56607,123,101, right
56729,98,101, middle
56848,120,101, right
56969,124,101, right
57091,123,95, right
57199,123,95, right
57330,123,95, right
57460,123,95, right
57591,123,95, right
57721,123,95, right
57851,123,95, right
57984,123,95, right
58115,123,95, right
58245,123,95, right
58376,123,95, right
58506,116,95, right
58626,115,95, right
58746,116,95, right
58866,116,95, right
58986,116,95, right
59106,102,95, middle
59225,118,95, right
59345,119,95, right
59465,99,95, middle
59583,117,95, right
59703,117,95, right
59833,113,106, middle
59943,110,68, right
60049,110,99, right
60156,116,92, right
60264,121,87, right
60372,121,87, right
60502,121,87, right
60633,121,74, right
60750,121,74, right
60881,116,74, right
61001,116,74, right
61131,117,59, right
61237,116,59, right
61357,113,59, right
61477,113,42, right
61593,113,42, right
61723,113,42, right
61854,117,42, right
61974,114,46, right
62079,117,46, right
62202,115,46, right
62321,116,46, right
62441,120,46, right
62561,118,46, right
62681,115,46, right
62801,115,46, right
62921,117,46, right
63041,117,46, right
63172,117,46, right
63302,117,46, right
63433,105,46, right
63552,105,46, right
63682,105,46, right
63813,118,46, right
63933,118,46, right
64064,120,46, right
64184,120,46, right
64314,120,46, right
64447,120,46, right
64578,120,46, right
64708,120,55, right
64824,120,55, right
64955,120,55, right
65085,120,55, right
65216,120,55, right
65346,120,55, right
65477,120,55, right
65607,120,55, right
65738,120,55, right
65868,120,55, right
65998,120,55, right
66129,120,55, right
66259,120,55, right
66390,120,55, right
66520,120,55, right
66653,120,55, right
66784,120,55, right
66914,120,55, right
67044,120,55, right
67175,120,55, right
67305,120,55, right
67436,120,55, right
67566,120,55, right
67697,120,55, right
67827,120,55, right
67958,120,55, right
68088,120,55, right
68218,120,55, right
68349,120,55, right
68479,120,55, right
68610,120,55, right
68740,120,55, right
68871,120,55, right
69004,120,55, right
69134,120,55, right
69265,120,55, right
69395,120,55, right
69525,120,55, right
69656,120,55, right
69787,120,55, right
69917,120,55, right
70048,120,55, right
70178,120,55, right
70309,120,55, right
70439,120,55, right
70570,120,55, right
70700,120,55, right
70831,120,55, right
70961,120,55, right
71092,120,55, right
71222,120,55, right
71355,120,55, right
71485,120,55, right
71616,120,55, right
71746,120,55, right
71877,120,55, right
72007,120,55, right
72138,120,55, right
72268,120,55, right
72398,120,55, right
72529,120,55, right
72659,120,55, right
72790,120,55, right
72920,120,55, right
73051,120,55, right
73181,120,55, right
73312,120,55, right
73442,120,55, right
73575,120,55, right
73705,120,55, right
73836,120,55, right
73966,120,55, right
74097,120,55, right
74227,120,55, right
74358,120,55, right
74488,120,55, right
74618,120,55, right
74749,120,55, right
74879,120,55, right
75010,120,55, right
75140,120,55, right
75271,120,55, right
75401,120,55, right
75532,120,55, right
75662,120,55, right
75792,120,55, right
75925,120,55, right
76056,120,55, right
76186,120,55, right
76317,120,55, right
76447,120,55, right
76578,120,55, right
76708,120,55, right
76838,120,55, right
76969,120,55, right
77099,120,55, right
77230,120,55, right
77360,120,55, right
77491,120,55, right
77621,120,55, right
77752,120,55, right
77882,120,55, right
78012,120,55, right
78143,120,55, right
78276,120,55, right
78406,120,55, right
78537,120,55, right
78667,120,55, right
78798,120,55, right
