Timestamp (ms), Piezo Value,Label
22233,79, empty
22289,81, empty
22345,82, empty
22401,79, empty
22457,76, empty
22513,78, empty
22569,81, empty
22625,81, empty
22684,81, empty
22740,54, empty
22796,76, empty
22852,79, empty
22908,87, empty
22964,80, empty
23020,78, empty
23076,76, empty
23132,77, empty
23188,82, empty
23244,81, empty
23300,78, empty
23356,77, empty
23412,80, empty
23468,82, empty
23524,82, empty
23580,78, empty
23636,77, empty
23692,80, empty
23748,82, empty
23804,81, empty
23860,78, empty
23916,80, empty
23972,79, empty
24028,82, empty
24084,83, empty
24140,79, empty
24196,77, empty
24252,80, empty
24311,81, empty
24367,79, empty
24423,82, empty
24479,78, empty
24535,78, empty
24591,80, empty
24647,59, empty
24703,82, empty
24759,78, empty
24815,78, empty
24871,81, empty
24927,82, empty
24983,80, empty
25039,77, empty
25095,78, empty
25151,80, empty
25207,81, empty
25263,81, empty
25319,79, empty
25375,79, empty
25431,82, empty
25487,82, empty
25543,82, empty
25599,78, empty
25655,78, empty
25711,82, empty
25767,83, empty
25823,82, empty
25882,82, empty
25938,78, empty
25994,78, empty
26050,82, empty
26106,84, empty
26162,80, empty
26218,78, empty
26274,82, empty
26330,82, empty
26386,83, empty
26442,81, empty
26498,79, empty
26554,79, empty
26610,82, empty
26666,84, empty
26722,82, empty
26778,85, empty
26834,79, empty
26890,83, empty
26946,83, empty
27002,83, empty
27058,79, empty
27114,79, empty
27170,83, empty
27226,82, empty
27282,82, empty
27338,80, empty
27394,90, empty
27450,83, empty
27509,83, empty
27565,84, empty
27621,81, empty
27677,78, empty
27733,80, empty
27789,82, empty
27845,77, empty
27901,80, empty
27957,80, empty
28013,80, empty
28069,82, empty
28125,84, empty
28181,82, empty
28237,79, empty
28293,81, empty
28349,83, empty
28405,84, empty
28461,82, empty
28517,80, empty
28573,80, empty
28629,84, empty
28685,99, empty
28741,82, empty
28797,79, empty
28853,83, empty
28909,84, empty
28965,84, empty
29021,81, empty
29080,82, empty
29136,79, empty
29192,81, empty
29248,83, empty
29304,84, empty
29360,86, empty
29416,79, empty
29472,81, empty
29528,85, empty
29584,84, empty
29640,82, empty
29696,79, empty
29752,82, empty
29808,84, empty
29864,84, empty
29920,82, empty
29976,80, empty
0,139, empty
54,140, empty
108,137, empty
163,140, empty
218,141, empty
273,140, empty
328,136, empty
383,138, empty
438,141, empty
493,140, empty
548,138, empty
603,138, empty
658,140, empty
713,141, empty
768,131, empty
823,139, empty
878,139, empty
933,145, empty
988,142, empty
1043,138, empty
1099,126, empty
1155,94, empty
1210,0, sitting
1264,0, sitting
1318,0, sitting
1372,0, sitting
1426,0, sitting
1480,0, sitting
1534,89, empty
1592,266, sitting
1648,303, sitting
1704,294, sitting
1760,295, sitting
1816,353, sitting
1872,451, sitting
1928,482, sitting
1984,515, sitting
2040,538, sitting
2096,514, sitting
2152,485, sitting
2280,421, sitting
2336,389, sitting
2392,358, sitting
2448,344, sitting
2504,349, sitting
2560,395, sitting
2616,417, sitting
2672,442, sitting
2728,457, sitting
2784,456, sitting
2840,456, sitting
2896,477, sitting
2952,483, sitting
3008,479, sitting
3064,484, sitting
3123,488, sitting
3179,492, sitting
3235,500, sitting
3291,502, sitting
3347,498, sitting
3403,497, sitting
3459,503, sitting
3515,506, sitting
3571,503, sitting
3627,499, sitting
3683,500, sitting
3739,506, sitting
3795,504, sitting
3851,501, sitting
3907,501, sitting
3963,505, sitting
4019,506, sitting
4075,493, sitting
4131,497, sitting
4187,493, sitting
4243,480, sitting
4299,479, sitting
4355,478, sitting
4411,486, sitting
4467,487, sitting
4523,481, sitting
4582,483, sitting
4638,489, sitting
4694,492, sitting
4750,487, sitting
4806,479, sitting
4862,479, sitting
4918,473, sitting
4974,474, sitting
5030,471, sitting
5086,468, sitting
5142,473, sitting
5198,483, sitting
5254,480, sitting
5310,481, sitting
5366,479, sitting
5422,481, sitting
5478,481, sitting
5534,463, sitting
5590,491, sitting
5646,463, sitting
5702,463, sitting
5758,468, sitting
5814,466, sitting
5870,468, sitting
5926,462, sitting
5985,447, sitting
6041,440, sitting
6097,447, sitting
6153,436, sitting
6209,421, sitting
6265,424, sitting
6321,412, sitting
6377,415, sitting
6433,415, sitting
6489,404, sitting
6545,394, sitting
6601,415, sitting
6657,425, sitting
6713,420, sitting
6769,413, sitting
6825,406, sitting
6881,422, sitting
6937,438, sitting
6993,436, sitting
7049,436, sitting
7105,452, sitting
7161,459, sitting
7217,445, sitting
7273,441, sitting
7329,449, sitting
7385,454, sitting
7444,456, sitting
7500,459, sitting
7556,468, sitting
7612,474, sitting
7668,471, sitting
7724,469, sitting
7780,460, sitting
7836,458, sitting
7892,474, sitting
7948,482, sitting
8004,484, sitting
8060,484, sitting
8116,492, sitting
8172,510, sitting
8228,520, sitting
8284,539, sitting
8340,574, sitting
8396,600, sitting
8452,648, sitting
8508,640, sitting
8564,627, sitting
8620,644, sitting
8676,659, sitting
8732,664, sitting
8788,656, sitting
8847,656, sitting
8903,653, sitting
8959,648, sitting
9015,645, sitting
9071,637, sitting
9127,627, sitting
9183,618, sitting
9239,618, sitting
9295,594, sitting
9351,600, sitting
9407,613, sitting
9463,612, sitting
9519,608, sitting
9575,607, sitting
9631,601, sitting
9687,595, sitting
9743,589, sitting
9799,587, sitting
9855,585, sitting
9911,584, sitting
9967,578, sitting
10023,581, sitting
10080,584, sitting
10137,583, sitting
10194,583, sitting
10251,583, sitting
10311,578, sitting
10368,573, sitting
10425,561, sitting
10482,567, sitting
10539,566, sitting
10596,566, sitting
10653,564, sitting
10710,565, sitting
10767,558, sitting
10824,553, sitting
10881,549, sitting
10938,553, sitting
10995,553, sitting
11052,551, sitting
11109,550, sitting
11166,548, sitting
11223,540, sitting
11280,544, sitting
11337,545, sitting
11394,540, sitting
11451,542, sitting
11508,539, sitting
11565,535, sitting
11622,529, sitting
11682,534, sitting
11739,532, sitting
11796,530, sitting
11853,535, sitting
11910,531, sitting
11967,527, sitting
12024,523, sitting
12081,523, sitting
12138,524, sitting
12195,525, sitting
12252,525, sitting
12309,523, sitting
12366,542, sitting
12423,516, sitting
12480,513, sitting
12537,515, sitting
12594,519, sitting
12651,515, sitting
12708,515, sitting
12765,509, sitting
12822,508, sitting
12879,509, sitting
12936,508, sitting
12993,509, sitting
13050,504, sitting
13105,503, sitting
13162,485, sitting
13219,477, sitting
13276,482, sitting
13333,502, sitting
13390,532, sitting
13447,512, sitting
13504,476, sitting
13561,492, sitting
13618,507, sitting
13675,490, sitting
13732,461, sitting
13789,472, sitting
13846,476, sitting
13903,484, sitting
13960,505, sitting
14017,510, sitting
14074,477, sitting
14131,449, sitting
14188,485, sitting
14245,504, sitting
14302,502, sitting
14359,511, sitting
14416,440, sitting
14476,417, sitting
14533,452, sitting
14590,449, sitting
14647,455, sitting
14704,506, sitting
14761,518, sitting
14818,500, sitting
14875,449, sitting
14932,394, sitting
