Timestamp (ms), Piezo Value Left, Piezo Value Right, Flex Value Middle,Label,,
26735,25,67,769, middle,,
26848,37,65,769, middle,,
26961,35,66,768, middle,,
27074,41,69,770, middle,,
27187,33,66,770, middle,,
27300,32,67,769, middle,,
27413,30,69,770, middle,,
27526,28,66,769, middle,,
27639,33,67,769, middle,,
27752,36,68,770, middle,,
27865,32,66,769, middle,,
27978,34,68,769, middle,,
28091,35,68,769, middle,,
28204,30,66,769, middle,,
28317,33,68,770, middle,,
28430,35,68,768, middle,,
28543,31,66,769, middle,,
28656,34,68,770, middle,,
28771,35,69,770, middle,,
28884,31,66,769, middle,,
28997,34,68,770, middle,,
29110,37,69,770, middle,,
29223,33,66,769, middle,,
29336,36,68,769, middle,,
29449,36,68,769, middle,,
29562,33,66,770, middle,,
29675,37,69,769, middle,,
29788,34,68,770, middle,,
29901,36,67,768, middle,,
30014,37,69,770, middle,,
30127,32,68,769, middle,,
30240,33,67,769, middle,,
30353,38,70,770, middle,,
30466,35,68,769, middle,,
30579,36,67,769, middle,,
30692,37,70,769, middle,,
30807,36,68,769, middle,,
30920,36,67,770, middle,,
31033,36,70,770, middle,,
31146,37,68,770, middle,,
31259,35,67,769, middle,,
31372,38,70,770, middle,,
31485,35,68,769, middle,,
31598,39,68,769, middle,,
31711,38,70,770, middle,,
31824,36,68,769, middle,,
31937,36,68,770, middle,,
32050,38,70,770, middle,,
32163,36,67,769, middle,,
32276,37,69,769, middle,,
32389,39,70,770, middle,,
32502,37,67,769, middle,,
32615,39,69,769, middle,,
32728,40,70,771, middle,,
32841,37,67,770, middle,,
32956,40,68,769, middle,,
33069,42,70,770, middle,,
33182,39,68,770, middle,,
33295,44,69,769, middle,,
33408,40,70,769, middle,,
33521,40,68,769, middle,,
33634,46,70,769, middle,,
33747,39,70,770, middle,,
33860,36,68,769, middle,,
33973,42,70,769, middle,,
34086,44,70,770, middle,,
34199,38,67,769, middle,,
34312,43,70,770, middle,,
34425,41,69,770, middle,,
34538,38,68,770, middle,,
34651,43,71,770, middle,,
34764,38,69,769, middle,,
34877,39,68,769, middle,,
34992,41,70,769, middle,,
35105,41,70,770, middle,,
35218,41,68,770, middle,,
35331,44,70,770, middle,,
35444,43,69,770, middle,,
35557,41,68,769, middle,,
35670,44,71,769, middle,,
35783,42,69,770, middle,,
35896,41,68,770, middle,,
36009,46,71,770, middle,,
36122,43,69,770, middle,,
36235,43,69,770, middle,,
36348,46,71,770, middle,,
36461,41,68,770, middle,,
36574,43,69,771, middle,,
36687,45,71,769, middle,,
36800,43,68,769, middle,,
36913,43,70,770, middle,,
37028,45,71,770, middle,,
37141,41,69,770, middle,,
37254,43,69,769, middle,,
37367,45,71,770, middle,,
37480,42,69,769, middle,,
37593,43,70,769, middle,,
37706,44,71,770, middle,,
37819,42,68,769, middle,,
37932,44,70,770, middle,,
38045,45,71,770, middle,,
38158,41,68,769, middle,,
38271,45,70,770, middle,,
38384,45,71,770, middle,,
38497,43,68,769, middle,,
38610,46,71,771, middle,,
38723,45,70,771, middle,,
38836,44,69,770, middle,,
38949,49,71,770, middle,,
39062,45,70,770, middle,,
39173,46,70,770, middle,,
39286,48,71,770, middle,,
39399,45,69,769, middle,,
39512,47,70,769, middle,,
39625,48,71,771, middle,,
39738,45,69,770, middle,,
39851,48,70,770, middle,,
39964,50,71,770, middle,,
40077,46,69,770, middle,,
40190,48,71,770, middle,,
40303,48,71,769, middle,,
40416,46,69,770, middle,,
40529,49,71,770, middle,,
40642,47,71,770, middle,,
40755,46,69,769, middle,,
40868,49,71,770, middle,,
40981,46,70,771, middle,,
41094,47,69,769, middle,,
41209,49,71,770, middle,,
41322,48,71,769, middle,,
41435,46,69,769, middle,,
41548,50,71,770, middle,,
41661,48,70,770, middle,,
41774,48,69,770, middle,,
41887,55,72,770, middle,,
42000,49,70,770, middle,,
42113,44,69,770, middle,,
42226,58,72,771, middle,,
42339,47,70,771, middle,,
42452,51,70,770, middle,,
42565,55,72,770, middle,,
42678,50,70,770, middle,,
42791,50,70,770, middle,,
42904,55,72,769, middle,,
43017,48,69,769, middle,,
43130,51,70,770, middle,,
43245,53,72,770, middle,,
43358,49,70,770, middle,,
43471,51,70,770, middle,,
43584,53,72,770, middle,,
43697,49,69,770, middle,,
43810,51,70,769, middle,,
43923,53,72,770, middle,,
44036,50,69,770, middle,,
44149,53,71,769, middle,,
44262,54,72,771, middle,,
44375,50,69,770, middle,,
44488,54,71,770, middle,,
44601,55,72,770, middle,,
44714,51,69,771, middle,,
44827,55,71,770, middle,,
44940,55,71,769, middle,,
45053,53,69,769, middle,,
45166,56,71,770, middle,,
45281,56,72,771, middle,,
45394,53,69,771, middle,,
45507,58,71,770, middle,,
45620,55,71,770, middle,,
45733,53,69,770, middle,,
45846,56,72,770, middle,,
45959,54,71,768, middle,,
46072,53,69,770, middle,,
46185,56,72,770, middle,,
46298,54,71,770, middle,,
46411,53,69,770, middle,,
46524,56,72,770, middle,,
46637,54,70,771, middle,,
46750,54,70,770, middle,,
46863,57,72,772, middle,,
46976,54,70,770, middle,,
47089,54,70,770, middle,,
47202,59,72,770, middle,,
47315,58,70,770, middle,,
47430,56,69,769, middle,,
47543,59,72,770, middle,,
47656,56,70,770, middle,,
47769,54,70,769, middle,,
47882,60,73,770, middle,,
47995,57,70,770, middle,,
48108,57,70,769, middle,,
48221,59,72,770, middle,,
48334,55,70,770, middle,,
48447,58,70,770, middle,,
48560,59,72,770, middle,,
48673,56,70,771, middle,,
48786,58,71,770, middle,,
48899,58,72,770, middle,,
49012,54,69,770, middle,,
49125,58,71,769, middle,,
49238,58,72,771, middle,,
49351,55,69,770, middle,,
49466,58,71,770, middle,,
49579,59,72,771, middle,,
49692,55,70,770, middle,,
49805,58,71,769, middle,,
49918,60,72,770, middle,,
50031,56,69,770, middle,,
50144,59,71,769, middle,,
50257,61,72,771, middle,,
50370,57,69,770, middle,,
50483,61,72,770, middle,,
50596,60,72,770, middle,,
50709,58,69,769, middle,,
50822,62,72,770, middle,,
50935,59,71,770, middle,,
51048,58,69,771, middle,,
51161,62,72,769, middle,,
51274,59,71,771, middle,,
51387,59,70,769, middle,,
51502,62,72,770, middle,,
51615,63,71,770, middle,,
51728,61,69,770, middle,,
51841,61,72,770, middle,,
51954,58,70,770, middle,,
52067,55,68,769, middle,,
52180,57,71,769, middle,,
52293,54,68,769, middle,,
52406,44,65,769, middle,,
52519,42,66,769, middle,,
52632,37,63,769, middle,,
52745,32,61,769, middle,,
52858,34,62,769, middle,,
52971,34,59,770, middle,,
53084,30,58,768, middle,,
53197,28,61,769, middle,,
53310,22,112,775, middle,,
53424,21,133,775, middle,,
53540,29,156,777, middle,,
53654,32,172,780, middle,,
53768,34,174,778, middle,,
53882,39,139,773, middle,,
53996,36,123,772, middle,,
54110,37,124,771, middle,,
54224,33,120,770, middle,,
54338,38,124,770, middle,,
