Timestamp (ms), rf Distance left, rf Distance right, Label
40825,119,90, right
40941,112,90, right
41059,71,90, left
41174,119,90, right
41292,74,94, left
41395,74,94, left
41522,73,94, left
41636,72,89, left
41741,72,89, left
41869,72,89, left
41996,73,114, left
42101,73,117, left
42219,73,117, left
42347,73,117, left
42463,73,117, left
42578,74,117, left
42694,72,115, left
42799,73,115, left
42914,73,115, left
43043,84,115, left
43159,84,116, left
43277,84,116, left
43405,84,114, left
43523,84,112, left
43641,77,112, left
43757,77,116, left
43875,117,114, middle
43985,118,114, middle
44105,118,113, middle
44223,115,113, middle
44342,116,114, middle
44451,116,114, middle
44559,116,114, middle
44689,116,115, middle
44797,117,112, middle
44905,117,117, middle
45024,82,117, left
45141,83,114, left
45246,83,90, middle
45349,84,90, middle
45464,81,90, middle
45579,81,90, middle
45694,82,90, middle
45809,81,93, left
45915,83,95, left
46018,82,95, left
46121,82,92, middle
46224,81,92, left
46327,82,97, left
46431,82,95, left
46534,83,95, left
46649,82,99, left
46753,82,99, left
46868,81,119, left
46973,81,113, left
47079,81,113, left
47195,82,115, left
47300,81,115, left
47405,81,115, left
47521,106,96, middle
47627,115,124, middle
47736,102,96, middle
47844,101,93, middle
47949,115,101, right
48057,116,98, right
48163,116,101, right
48271,116,101, right
48400,117,98, right
48507,117,98, right
48624,80,96, left
48727,81,95, left
48830,115,95, right
48937,82,95, left
49040,82,96, left
49156,80,97, left
49259,80,104, left
49376,81,97, left
49480,123,97, right
49598,82,93, left
49701,81,95, left
49807,81,95, left
49922,80,95, left
50025,81,109, left
50130,80,95, left
50233,78,110, left
50338,80,94, left
50441,78,91, left
50544,77,92, left
50647,75,98, left
50750,76,92, left
50853,78,92, left
50967,76,93, left
51070,76,97, left
51173,77,97, left
51288,79,93, left
51391,80,95, left
51494,78,92, left
51597,76,92, left
51700,82,94, left
51805,80,94, left
51909,78,92, left
52011,80,93, left
52114,77,96, left
52217,75,93, left
52320,81,92, left
52423,76,93, left
52526,77,93, left
52629,77,91, left
52744,77,89, left
52847,75,92, left
52950,76,98, left
53053,78,96, left
53156,79,96, left
53271,122,96, right
53389,108,96, right
53507,108,96, right
53635,114,96, right
53753,110,96, right
53873,96,96, middle
53989,101,96, middle
54106,111,96, right
54224,104,110, middle
54331,104,106, middle
54450,99,106, middle
54556,101,109, middle
54663,100,109, middle
54781,100,109, middle
54899,101,109, middle
55018,101,109, middle
55147,101,109, middle
55277,116,109, middle
55396,116,109, middle
55525,116,109, middle
55655,109,106, middle
55765,118,106, right
55884,118,106, right
56013,119,106, right
56132,119,113, middle
56251,112,115, middle
56359,115,114, middle
56468,114,114, middle
56587,115,114, middle
56706,98,119, left
56812,109,119, middle
56931,121,119, middle
57050,118,96, right
57157,108,95, right
57262,105,95, middle
57380,118,94, right
57486,119,94, right
57604,114,94, right
57725,105,94, right
57842,108,94, right
57959,108,112, middle
58078,108,111, middle
58197,108,107, middle
58315,111,107, middle
58434,110,110, middle
58542,110,107, middle
58661,81,107, left
58776,111,107, middle
58895,111,107, middle
59025,111,107, middle
59154,111,107, middle
59284,111,61, right
59398,111,61, right
59527,111,88, right
59643,111,82, right
59762,111,92, right
59878,111,89, right
59995,111,89, right
60123,111,89, right
60252,111,89, right
60380,111,89, right
60509,111,63, right
60624,111,64, right
60739,115,64, right
60856,115,64, right
60985,115,64, right
61113,117,40, right
61217,117,40, right
61345,117,39, right
61459,117,39, right
61577,117,39, right
61705,117,39, right
61834,117,44, right
61950,117,44, right
62078,117,44, right
62207,117,44, right
62335,119,44, right
62453,119,44, right
62582,121,44, right
62700,121,44, right
62829,121,62, right
62944,120,62, right
63062,116,62, right
63180,116,62, right
63298,116,62, right
63416,119,62, right
63534,114,62, right
63652,116,62, right
63770,115,62, right
63888,115,62, right
64016,115,61, right
64123,117,62, right
64227,114,62, right
64345,117,62, right
64463,119,62, right
64581,115,62, right
64699,117,62, right
64817,116,62, right
64921,114,62, right
65039,117,62, right
65157,115,62, right
65275,117,62, right
65393,117,62, right
65522,117,41, right
65635,115,41, right
65753,117,41, right
65871,117,41, right
65989,117,41, right
66120,117,41, right
66249,116,41, right
66367,116,41, right
66495,116,41, right
66624,116,41, right
66752,116,41, right
66881,116,41, right
67009,116,41, right
67138,116,41, right
67266,116,41, right
67395,115,41, right
67513,115,41, right
67642,115,41, right
67770,115,41, right
67899,115,41, right
68027,115,41, right
68156,115,41, right
68284,116,41, right
68405,116,41, right
68533,116,41, right
68662,117,41, right
68780,115,41, right
68898,117,41, right
69016,114,41, right
69133,114,41, right
69262,114,41, right
69390,114,41, right
69519,114,41, right
69647,114,41, right
69776,115,41, right
69894,115,41, right
70022,115,41, right
70151,115,41, right
70269,115,41, right
70397,115,41, right
70526,115,41, right
70657,115,41, right
70785,115,41, right
70913,115,41, right
71042,115,41, right
71170,115,41, right
71299,116,41, right
71417,113,41, right
71535,113,41, right
71663,113,41, right
71792,115,41, right
71910,115,41, right
72038,115,41, right
72166,115,41, right
72295,113,41, right
72413,113,41, right
72541,113,41, right
72670,113,41, right
72801,113,41, right
72929,113,41, right
73047,114,41, right
73165,115,41, right
73283,116,41, right
73401,116,41, right
73529,116,41, right
73647,116,41, right
73765,116,41, right
73894,116,41, right
74022,116,41, right
74151,116,41, right
74279,115,41, right
74397,115,41, right
74525,113,41, right
74643,115,41, right
74761,115,41, right
74890,117,41, right
75010,115,41, right
75128,115,41, right
75256,115,41, right
75374,115,41, right
75492,115,41, right
75610,115,41, right
75739,115,41, right
75867,115,41, right
75996,115,41, right
76124,115,41, right
76253,115,41, right
76381,115,41, right
76510,112,41, right
76628,112,41, right
76756,115,41, right
76874,118,41, right
76992,115,41, right
77110,116,41, right
77231,115,41, right
77349,113,41, right
77466,113,41, right
77584,113,41, right
77702,114,41, right
77820,114,41, right
77948,114,41, right
78077,114,41, right
78205,114,41, right
78334,114,41, right
78462,114,41, right
78591,114,41, right
78719,114,41, right
78848,114,41, right
78976,114,41, right
79105,115,41, right
79223,115,41, right
79343,115,41, right
79471,115,41, right
79600,115,41, right
79728,115,41, right
79857,115,41, right
79985,115,41, right
80114,115,41, right
80242,115,41, right
80360,114,41, right
80478,114,41, right
80596,115,41, right
80714,115,41, right
80832,115,41, right
80960,115,41, right
81078,115,41, right
81196,115,41, right
81314,115,41, right
81432,116,41, right
81552,116,41, right
81681,116,41, right
81799,113,41, right
81916,116,41, right
82034,116,41, right
82163,112,41, right
82281,115,41, right
82398,115,41, right
82516,117,41, right
82634,117,41, right
82763,117,41, right
82891,115,41, right
83009,113,41, right
83127,113,41, right
83255,115,41, right
83373,113,41, right
83491,113,41, right
83620,113,41, right
83751,113,41, right
83879,113,41, right
84008,113,41, right
84136,113,41, right
84265,113,41, right
84393,113,41, right
84522,113,41, right
84650,113,41, right
84778,113,41, right
84907,113,41, right
85035,113,41, right
85164,113,41, right
85292,113,41, right
85421,115,41, right
85539,115,41, right
85667,115,41, right
85796,115,41, right
85927,115,41, right
86055,115,41, right
86184,115,41, right
86312,115,41, right
86441,115,41, right
86569,115,41, right
86697,115,41, right
86826,115,41, right
86954,115,41, right
87083,115,41, right
87211,114,41, right
87329,114,41, right
87458,116,41, right
87576,116,41, right
87704,116,41, right
87833,115,41, right
87951,115,41, right
88079,117,41, right
88200,113,41, right
88317,113,41, right
88446,114,41, right
88564,114,41, right
88692,115,41, right
88810,115,41, right
88928,116,41, right
89046,116,41, right
89175,116,41, right
89293,116,41, right
89421,116,41, right
89549,116,41, right
89678,116,41, right
89806,116,41, right
89935,116,41, right
0,0,0, N/A
86,0,0, N/A
209,0,0, N/A
332,0,0, N/A
455,0,0, N/A
579,0,0, N/A
702,0,0, N/A
825,0,0, N/A
949,0,0, N/A
1072,0,0, N/A
1196,0,0, N/A
1321,0,0, N/A
1445,0,0, N/A
1570,0,0, N/A
1694,0,0, N/A
1818,0,0, N/A
1943,61,0, left
2054,61,0, left
2180,61,0, left
2305,62,0, left
2419,62,0, left
2545,62,0, left
2670,64,0, left
2782,57,0, left
2893,57,0, left
3019,57,0, left
3144,57,0, left
3269,62,0, left
3381,62,0, left
3507,62,0, left
3632,62,0, left
3744,62,0, left
3869,62,0, left
3994,62,0, left
4120,63,0, left
4232,62,0, left
4343,62,0, left
4455,60,0, left
4567,60,0, left
4692,58,0, left
4804,64,0, left
4918,64,0, left
5043,64,0, left
5169,64,0, left
5294,64,0, left
5419,64,0, left
5545,64,0, left
5670,64,0, left
5795,64,0, left
5921,64,0, left
6046,64,0, left
6171,64,0, left
6297,64,0, left
6422,64,0, left
6548,64,0, left
6673,64,0, left
6798,64,0, left
6924,64,0, left
7049,64,0, left
7175,64,0, left
7300,64,0, left
7428,64,0, left
7553,64,0, left
7679,64,0, left
7804,64,0, left
7930,64,0, left
8055,64,0, left
8180,64,0, left
8306,64,0, left
8431,64,0, left
8556,64,103, left
8672,64,103, left
8800,64,103, left
8927,64,103, left
9055,64,103, left
9182,64,103, left
9310,64,103, left
9437,64,103, left
9564,64,103, left
9692,64,103, left
9819,64,103, left
9949,64,103, left
10077,64,103, left
10205,64,103, left
10334,64,103, left
10462,64,103, left
10590,64,103, left
10719,64,103, left
10847,64,103, left
10976,64,103, left
11104,64,103, left
11233,64,103, left
11361,64,103, left
11490,64,103, left
11618,64,103, left
11747,64,103, left
11875,64,103, left
12004,64,103, left
12132,64,103, left
12263,64,103, left
12392,64,103, left
12520,64,103, left
12649,64,103, left
12777,64,103, left
12905,64,103, left
13034,64,103, left
13162,64,103, left
13291,64,103, left
13419,64,103, left
13548,64,103, left
13676,64,103, left
13805,64,103, left
13933,64,103, left
14062,64,103, left
14190,64,103, left
14319,64,103, left
14447,64,103, left
14576,64,103, left
14707,64,103, left
14835,64,103, left
14963,64,103, left
15092,64,103, left
15220,64,103, left
15349,64,103, left
15477,64,103, left
15606,64,103, left
15734,64,103, left
15863,64,103, left
15991,64,103, left
16120,64,103, left
16248,64,103, left
16377,64,103, left
16505,64,103, left
16634,64,103, left
16762,64,103, left
16890,64,103, left
17021,64,103, left
17150,64,103, left
17278,64,103, left
17407,64,103, left
17535,64,103, left
17664,64,103, left
17792,64,103, left
17921,64,103, left
18049,64,103, left
18178,64,103, left
18306,64,103, left
18435,64,103, left
18563,64,103, left
18691,64,103, left
18820,64,103, left
18948,64,103, left
19077,64,103, left
19205,64,103, left
19336,64,103, left
19465,64,103, left
19593,64,103, left
19722,64,103, left
19850,64,103, left
19979,64,103, left
20107,64,103, left
20235,64,103, left
20364,64,103, left
20492,64,103, left
20621,64,103, left
20749,64,103, left
20878,64,103, left
21006,64,103, left
21135,64,103, left
21263,64,103, left
21392,64,103, left
21520,64,103, left
21651,64,103, left
21780,64,103, left
21908,64,103, left
22037,64,103, left
22165,64,103, left
22294,64,103, left
22422,64,103, left
22550,64,103, left
22679,64,103, left
22807,64,103, left
22936,59,103, left
23051,59,103, left
23179,59,103, left
23308,59,103, left
23436,59,103, left
23565,59,103, left
23693,59,103, left
23821,59,103, left
23950,59,103, left
24081,59,103, left
24209,59,103, left
24338,59,103, left
24466,59,103, left
24595,59,103, left
24723,59,103, left
24852,59,103, left
24980,59,103, left
25109,59,103, left
25237,59,103, left
25366,59,103, left
25494,59,103, left
25623,59,103, left
25751,59,103, left
25880,59,103, left
26008,59,103, left
26137,59,103, left
26265,59,103, left
26396,59,103, left
26525,59,103, left
26653,59,103, left
26782,59,103, left
26910,59,103, left
27038,59,103, left
27167,59,103, left
27295,59,103, left
27424,59,103, left
27552,59,103, left
27681,47,103, left
27795,52,103, left
27909,52,103, left
28038,62,103, left
28153,71,103, left
28268,71,103, left
28396,73,103, left
28512,73,103, left
28643,71,103, left
28758,64,103, left
28873,64,103, left
28991,64,103, left
29119,61,103, left
29234,61,103, left
29362,61,103, left
29491,61,103, left
29619,61,103, left
29748,61,103, left
29876,64,103, left
29991,98,99, middle
30096,98,116, left
30214,114,116, middle
30333,114,116, middle
30462,50,116, left
30576,50,104, left
30694,97,100, middle
30802,97,96, middle
30918,100,96, middle
31035,100,96, middle
31163,98,90, middle
31267,93,90, middle
31383,89,105, left
31488,87,107, left
31593,96,107, left
31710,96,111, left
31828,104,111, middle
31946,104,111, middle
32076,108,111, middle
32194,105,111, middle
32313,105,111, middle
32431,114,111, middle
32550,107,111, middle
32669,97,111, left
32786,106,111, middle
32907,107,111, middle
33025,99,93, middle
33129,116,93, right
33247,101,93, middle
33364,97,93, middle
33480,89,93, middle
33595,114,93, right
33713,100,93, middle
33830,98,93, middle
33934,112,91, right
34040,96,91, middle
34156,112,91, right
34274,98,87, right
34378,100,92, middle
34483,97,92, middle
34599,98,92, middle
34703,100,90, middle
34810,89,83, middle
34913,107,83, right
35031,107,119, left
35150,100,94, middle
35255,106,94, right
35361,109,115, middle
35469,99,91, middle
35573,99,92, middle
35677,99,92, middle
35793,97,92, middle
35909,78,92, left
36012,113,100, right
36119,113,100, right
36249,99,92, middle
36353,114,93, right
36459,114,101, right
36577,114,95, right
36696,114,100, right
36814,114,94, right
36931,100,94, middle
37036,97,94, middle
37140,96,93, middle
37244,96,94, middle
37348,98,94, middle
37464,97,94, middle
37580,97,94, middle
37707,96,94, middle
37823,96,99, middle
37939,97,92, middle
38043,103,99, middle
38149,98,96, middle
38253,103,93, middle
38359,96,98, middle
38463,101,97, middle
38568,101,97, middle
38699,98,94, middle
38803,115,88, right
38909,103,88, right
39027,98,101, middle
39132,98,98, middle
39237,96,98, middle
39341,87,90, middle
39444,87,90, middle
39559,85,90, middle
39674,116,101, right
39782,86,101, left
39898,116,99, right
40005,100,104, middle
40112,96,104, middle
40229,96,118, left
40335,96,118, left
40452,98,101, middle
40560,113,118, middle
40668,96,103, middle
40774,96,100, middle
40891,107,101, middle
40998,99,101, middle
41115,100,101, middle
41233,113,100, right
41341,90,100, middle
41457,113,92, right
41563,113,95, right
41680,95,93, middle
41784,94,92, middle
41888,94,94, middle
42003,113,93, right
42109,96,97, middle
42214,95,118, left
42320,116,118, middle
42429,107,118, left
42550,114,118, middle
42669,114,118, middle
42798,99,101, middle
42904,116,101, right
43023,101,101, middle
43141,101,101, middle
43270,101,101, middle
43400,109,101, middle
43518,109,101, middle
43648,109,102, middle
43766,109,102, middle
43896,115,102, right
44015,115,102, right
44144,115,102, right
44274,115,102, right
44403,115,117, middle
44525,103,117, left
44643,99,121, left
44750,99,121, left
44867,98,118, left
44973,98,116, left
45080,97,116, left
45186,96,116, left
45303,98,116, left
45420,96,116, left
45537,99,116, left
45654,97,116, left
45771,97,116, left
45888,98,116, left
45994,98,117, left
46101,99,117, left
46207,99,117, left
46324,109,105, middle
46432,95,118, left
46538,95,118, left
46657,96,118, left
46774,96,116, left
46880,97,117, left
46987,98,117, left
47104,97,116, left
47210,97,101, middle
47316,95,101, middle
47421,97,117, left
47528,106,118, left
47636,98,117, left
47742,100,118, left
47850,98,118, left
47967,97,121, left
48073,96,120, left
48180,97,120, left
48297,115,120, middle
48416,100,120, left
48534,104,118, left
48644,103,118, left
48763,115,118, middle
48882,113,117, middle
48990,96,117, left
49096,96,117, left
49225,96,117, left
49353,102,117, left
49461,98,118, left
49568,99,119, left
49674,99,119, left
49793,110,120, middle
49901,113,120, middle
50020,98,106, middle
50126,90,106, left
50242,92,111, left
50348,90,111, left
50464,90,111, left
50595,112,111, middle
50714,96,111, left
50831,97,118, left
50937,97,118, left
51054,107,118, left
51173,100,118, left
51291,98,118, left
51408,97,117, left
51514,97,117, left
51643,99,115, left
51749,99,117, left
51856,98,117, left
51962,98,118, left
52069,97,120, left
52176,111,119, middle
52284,111,117, middle
52403,97,118, left
52510,98,121, left
52619,98,117, left
52737,98,116, left
52843,114,116, middle
52962,98,116, left
53079,98,116, left
53196,98,116, left
53324,98,116, left
53453,98,117, left
53559,98,117, left
53688,97,117, left
53805,97,117, left
53933,113,103, middle
54041,99,118, left
54147,101,115, left
54255,115,115, middle
54374,95,115, left
54491,95,118, left
54597,115,118, middle
54719,115,118, middle
54838,116,118, middle
54957,99,116, left
55063,99,122, left
55181,99,122, left
55310,99,116, left
55416,100,115, left
55524,113,120, middle
55632,113,116, middle
55752,113,124, left
55871,113,119, middle
55990,113,117, middle
56109,96,117, left
56226,116,122, middle
56335,100,117, left
56443,101,114, left
56550,96,118, left
56659,116,118, middle
56778,87,118, left
56895,85,126, left
57001,85,126, left
57117,85,118, left
57235,96,105, middle
57341,94,105, left
57457,116,100, right
57565,85,100, left
57681,99,118, left
57788,97,118, left
57894,97,118, left
58001,97,120, left
58107,85,121, left
58213,95,118, left
58320,97,119, left
58426,113,120, middle
58535,104,116, left
58645,97,118, left
58752,99,116, left
58858,98,117, left
58965,99,118, left
59071,97,116, left
59178,86,122, left
59284,85,119, left
59390,85,124, left
59496,115,120, middle
59604,115,120, middle
59723,115,120, middle
59853,88,120, left
59969,88,122, left
60088,88,122, left
60216,98,118, left
60323,116,118, middle
60442,97,118, left
60548,97,107, middle
60656,97,118, left
60775,98,114, left
60881,93,110, left
60987,107,104, middle
61094,101,99, middle
61200,110,97, right
61306,97,94, middle
61410,97,94, middle
61537,97,88, middle
61652,97,88, middle
61780,97,88, middle
61896,97,88, middle
62023,114,88, right
62141,114,88, right
62269,115,88, right
62387,117,53, right
62491,110,54, right
62595,121,54, right
62701,121,54, right
62830,115,54, right
62934,93,50, right
63035,93,50, right
63163,96,50, right
63278,99,50, right
63394,99,50, right
63522,99,50, right
63638,97,50, right
63754,97,50, right
63881,99,50, right
63997,97,53, right
64099,97,53, right
64226,90,53, right
64342,89,53, right
64457,90,53, right
64573,98,57, right
64675,98,57, right
64791,97,56, right
64893,96,55, right
64994,97,55, right
65110,99,55, right
65226,89,55, right
65342,88,55, right
65457,91,55, right
65572,89,55, right
65688,90,55, right
65803,90,55, right
65931,99,55, right
66047,97,55, right
66163,96,55, right
66278,90,55, right
66394,89,55, right
66509,97,55, right
66625,97,55, right
66753,96,55, right
66871,90,55, right
66994,90,55, right
67109,90,55, right
67236,89,55, right
67338,90,55, right
67453,96,55, right
67569,89,48, right
67670,91,71, right
67772,90,71, right
67888,89,71, right
68003,89,71, right
68118,90,71, right
68234,89,71, right
68336,91,71, right
68451,89,71, right
68567,96,71, right
68682,89,71, right
68798,97,71, right
68916,97,71, right
69032,89,71, right
69147,89,71, right
69263,89,71, right
69390,89,71, right
69506,89,71, right
69633,97,71, right
69749,89,71, right
69865,92,71, right
69980,89,71, right
70096,89,71, right
70211,89,71, right
70327,89,71, right
70442,89,71, right
70557,89,71, right
70673,89,71, right
70788,89,71, right
70904,89,71, right
71019,87,71, right
71137,87,71, right
71252,86,71, right
71367,87,71, right
71482,91,71, right
71598,89,71, right
71713,89,71, right
71829,89,71, right
71944,89,71, right
72060,89,71, right
72175,89,71, right
72290,89,71, right
72406,89,71, right
72521,91,71, right
72637,87,71, right
72752,89,71, right
72867,89,71, right
72983,87,71, right
73098,90,71, right
73216,87,71, right
73331,90,71, right
73447,99,71, right
73563,87,71, right
73678,87,71, right
73806,100,71, right
73923,98,71, right
74039,98,71, right
74155,96,71, right
74270,98,71, right
74386,98,71, right
74514,100,71, right
74631,98,71, right
74747,98,71, right
74874,98,71, right
75002,97,71, right
75117,97,71, right
75245,97,71, right
75363,99,71, right
75479,96,71, right
75595,95,71, right
75711,100,71, right
75828,96,71, right
75943,103,71, right
76061,100,71, right
76178,100,71, right
76306,98,71, right
76422,96,71, right
76538,96,71, right
76653,96,71, right
76769,97,71, right
76885,98,71, right
77001,96,71, right
77117,96,71, right
77244,96,71, right
77371,100,71, right
77491,100,71, right
77619,96,71, right
77735,98,71, right
77851,98,71, right
77967,90,71, right
78082,90,71, right
78198,90,71, right
78313,89,71, right
78429,90,71, right
78544,98,71, right
78660,98,71, right
78787,89,71, right
78903,89,71, right
79018,92,71, right
79134,89,71, right
79249,89,71, right
79377,92,71, right
79492,102,71, right
79609,89,71, right
79727,96,71, right
79843,98,71, right
79959,98,71, right
80075,96,71, right
80190,100,71, right
80307,90,71, right
80423,89,71, right
80538,89,71, right
80654,89,71, right
80781,89,71, right
80908,89,71, right
81036,96,71, right
81152,101,71, right
81269,89,71, right
81384,89,71, right
81499,89,71, right
81615,87,71, right
81730,89,71, right
81848,87,71, right
81963,100,71, right
82080,90,71, right
82196,98,71, right
82312,98,71, right
82428,114,71, right
82545,99,71, right
82661,90,71, right
82777,96,71, right
82893,98,71, right
83008,96,71, right
83124,99,71, right
83240,99,71, right
83368,98,71, right
83483,96,71, right
83599,98,71, right
83715,100,71, right
83832,99,71, right
83951,97,71, right
84066,97,71, right
84182,101,71, right
84299,99,71, right
84415,116,71, right
84533,97,71, right
84649,97,71, right
84765,95,71, right
84881,99,71, right
84997,97,71, right
85112,97,71, right
85228,99,71, right
85344,97,71, right
85460,97,71, right
85587,99,71, right
85703,97,71, right
85819,97,71, right
85935,97,71, right
86053,101,71, right
86170,101,71, right
86299,97,71, right
86415,95,71, right
86531,97,71, right
86646,95,71, right
86762,116,71, right
86880,97,71, right
86996,99,71, right
87112,97,71, right
87228,97,71, right
87343,116,71, right
87461,118,71, right
87579,99,71, right
87695,97,71, right
87811,98,71, right
87927,116,71, right
88045,100,71, right
88165,100,71, right
88293,98,71, right
88409,94,71, right
88525,94,71, right
88652,98,71, right
88768,98,71, right
88896,95,71, right
89011,116,71, right
89129,95,71, right
89245,95,71, right
89372,95,71, right
89500,97,71, right
89616,95,71, right
89731,95,71, right
89859,98,71, right
89975,95,71, right
0,0,0, N/A
