Timestamp (ms), Piezo Value Left, Piezo Value Right, Flex Value Middle, rf Distance left, rf Distance right, Label
26564, 21, 58, 751, 48.00, 110.00, left
26771, 22, 59, 751, 48.00, 110.00, left
26978, 21, 58, 750, 48.00, 110.00, left
27185, 21, 58, 751, 48.00, 110.00, left
27392, 21, 59, 751, 48.00, 110.00, left
27599, 22, 58, 751, 48.00, 110.00, left
27808, 20, 59, 752, 48.00, 110.00, left
28015, 21, 58, 752, 48.00, 110.00, left
28222, 21, 58, 751, 48.00, 110.00, left
28429, 21, 59, 751, 48.00, 110.00, left
28636, 21, 58, 751, 48.00, 110.00, left
28843, 21, 58, 751, 48.00, 110.00, left
29050, 21, 59, 752, 48.00, 110.00, left
29257, 22, 58, 751, 48.00, 110.00, left
29464, 21, 58, 752, 48.00, 110.00, left
29671, 21, 59, 751, 48.00, 110.00, left
29878, 22, 58, 751, 48.00, 110.00, left
30085, 21, 58, 751, 48.00, 110.00, left
30292, 21, 59, 751, 48.00, 110.00, left
30501, 21, 58, 751, 48.00, 110.00, left
30708, 21, 59, 753, 48.00, 110.00, left
30915, 21, 58, 751, 48.00, 110.00, left
31122, 21, 58, 751, 48.00, 110.00, left
31329, 21, 59, 751, 48.00, 110.00, left
31536, 21, 58, 751, 48.00, 110.00, left
31743, 21, 58, 751, 48.00, 110.00, left
31950, 22, 59, 751, 48.00, 110.00, left
32157, 22, 58, 751, 48.00, 110.00, left
32364, 21, 58, 751, 48.00, 110.00, left
32571, 21, 58, 751, 48.00, 110.00, left
32778, 22, 58, 752, 48.00, 110.00, left
32987, 21, 58, 751, 48.00, 110.00, left
33194, 21, 59, 751, 48.00, 110.00, left
33401, 21, 58, 751, 48.00, 110.00, left
33608, 21, 58, 751, 48.00, 110.00, left
33815, 21, 59, 752, 48.00, 110.00, left
34022, 22, 58, 752, 48.00, 110.00, left
34229, 22, 58, 751, 48.00, 110.00, left
34436, 23, 58, 752, 48.00, 110.00, left
34643, 23, 58, 751, 48.00, 110.00, left
